x,M_x,abs_M_over_sqrt_x
5828,2,0.026198125853112302
5991,-3,0.03875891355636926
6159,-6,0.07645328459126517
6332,-20,0.2513388030837367
6510,-13,0.16112126316514655
6693,-16,0.19557330282716
6881,-20,0.24110388963686077
7074,-18,0.21401291250192653
7273,7,0.08208073679752305
7477,18,0.20816552913903233
7687,-2,0.022811379786039743
7903,1,0.0112487433746415
8124,10,0.11094686695464057
8353,21,0.22977250237849545
8587,32,0.34532597515069247
8828,7,0.07450181923500175
9076,0,0.0
9331,-4,0.04140911002284322
9593,-17,0.17356881528405915
9862,-42,0.4229283434519267
10139,-17,0.16883067617782208
10424,-22,0.2154792620093667
10716,-18,0.17388261090178098
11017,-4,0.03810906702321704
11326,0,0.0
11644,17,0.15754253268545212
11971,18,0.1645156772757578
12307,23,0.2073250294376333
12653,2,0.017780060796354826
13008,-12,0.10521459357478416
13373,-9,0.07782660523922966
13749,2,0.01705667756254684
14135,17,0.14298846861815262
14531,17,0.1410266436209739
14939,-19,0.15545075558562818
15359,-9,0.07262080173825612
15790,-24,0.19099419897089015
16233,-36,0.28255507131139035
16689,-21,0.16255642419786331
17158,-20,0.1526851021306123
17639,-14,0.10541224325666812
18134,-12,0.08911164080132393
18644,-10,0.07323698428963005
19167,42,0.303369711790114
19705,45,0.32057104592177355
20258,19,0.13349202390496392
20827,39,0.2702410057359154
21412,21,0.1435128130770212
22013,-1,0.0067400075528566954
22631,-18,0.11965218472527434
23266,-25,0.16390007292112546
23919,-43,0.2780333843554965
24591,-50,0.3188466874808686
25281,-6,0.03773584905660377
25991,-3,0.018608431157151044
26721,-2,0.012234990659773461
27471,11,0.06636749880970612
28242,-3,0.01785145133736255
29035,-24,0.14084788390023262
29850,28,0.16206374244850513
30688,35,0.19979460255892506
31549,51,0.28712921066852837
32435,38,0.21099717734715354
33346,0,0.0
34282,-24,0.1296218353410722
35244,-17,0.09055372604758402
36234,-8,0.04202733453675193
37251,-18,0.09326174500004929
38297,-28,0.14307892020892551
39372,-24,0.12095323919316804
40477,-1,0.004970451513210472
41613,-19,0.09314061210678848
42782,-76,0.367437138781601
43983,-18,0.08582821508457492
45217,-6,0.028216320383890763
46487,39,0.18088345589808658
47792,60,0.2744565802867032
49134,78,0.3518872586689242
50513,16,0.07118990305119498
51931,5,0.021941012332690617
53389,9,0.03895082101201429
54888,8,0.034146900087705864
56429,-7,0.029467742284282592
58013,-65,0.26986756744004986
59641,-104,0.4258541471741407
